id, latitude, longitude, name, picture
39a2da27121a4c5e9a67df2080ff56be.16, 23.49888, 120.262729,  車站涼亭,  https://lh3.googleusercontent.com/IC9GZvfBQ1tlD0RDS8Ecfyo4KCfPaF09a_B03HybvujL-1Nz6zgSgPRcG9qhc_uRnTyP4h-585akuKTPBLTZPgcwGQ
1da62e33ec4d4581bea7e6ffbc327634.16, 23.498941, 120.263398,  中溝正義村,  https://lh3.googleusercontent.com/7or8jvvfb43_1Ue-PY3aWqG82yet-Rde8YC9IH7TcVhHI1qLgUz8nRPnzM5Dcy8w_o-TVouFgDeN338l1TtUTdYZD_Y
951c8b35d33e43138f3ad7f32ac05ee2.16, 23.499022, 120.266048,  跨河涼亭,  https://lh3.googleusercontent.com/8LYqsH3iym9-qTnAMoZArhqHok2Wdg8Dog8Q-PqA-kjFJUr5jNqfEnEGUJ3qCke6CACbnCUBv70PAfZICnH0TOvEEQ
10cfd55f14ca4bd7a10d1f9666324af8.16, 23.499769, 120.276056,  後壁寮涼亭,  https://lh4.ggpht.com/kpYur_8bbYqbDJKsYEHloPfehEkqVyXsbE0Qfgp7DyoRYq2-bVkHvc4d-yxy7T4UPNCbgMIYpV-aqna9Wg9p
0737eab480424a1cb80feaf222469043.16, 23.500024, 120.278466,  東營大將軍,  https://lh3.googleusercontent.com/Iz2L-q8aG_mq_tq4VqxjkX05yFuchl7a7MoF2eCszU2uxHXLCzG_hakMolWZLLDfVf9SRZ9gL06O7gTnr71nCWbhVk8
646ba14947e846d9b1cf433879448abd.16, 23.5038, 120.276501,  中營李大將軍,  https://lh3.googleusercontent.com/qm8JSM2H-7vo08Jz3_cJbDqr863vcf9_eO8ePHxTBrQyXJ-aW3ixqRU0muVh80TiWw34xeO33v75UkA-Ha3HUWtOOIM
27ecc55a96764daf9d03f6d3c02c416a.16, 23.503956, 120.277417,  池王廟金爐,  https://lh3.googleusercontent.com/drLe1VNOPnO9A_0M2N2Co5UvpNRKmrNfuI4JWILJz3F96T-toqd7zHNH6krEEGV8gG9U0P9uPaa8_A18Apo4pgfbYiE
82f7829f0aaf4f68ae0aedb61b341c6e.16, 23.504092, 120.27712,  池王廟,  https://lh3.googleusercontent.com/yj7KhFzVPf-eZ_cXroiLuXvJKoxE03ggrkL4J6qZBT8ffC5Yhxf_WcTMnCLTSc1QdPX5MxKgLxQVo-Ov-UtiJfRMXGY
168787c58f1f41aeb0b649705b5afda4.16, 23.504272, 120.254178,  東營大將軍,  https://lh3.googleusercontent.com/eO0D4SQTZREJFk6OO4aGBYmpb4buc3k4QUpukngiAD2K8ShUgy_-0WFFILg51NltxpqmPMAyDgr6PqRh1zgGEzXBgp1P
58785209dfec4bb488e78d64d4ceee07.16, 23.505042, 120.253007,  擇居仁里,  https://lh3.googleusercontent.com/9V4uZ9Q4jHl1Uj64ndU88tLjF5r1tqJspyWvMAntBhOHsUO4l9cVEkcYqvNgHbVVd5j902obKAi1UNSRQc-UDKagqw
e60d2906dd3442fdbeb3191ebbae4e6e.16, 23.505565, 120.278059,  王爺廟,  https://lh3.googleusercontent.com/pVbOlANqpXqRsQwV6QeMbAtGr433ZU0oLoj2V64WkvAT3a2T7XDWaCjRmI8tjyn-qjvvzWv6LJpdD2RyPFmy2rDQS1c
c86adfd41c9b444c889da9e8c193aa3f.16, 23.505704, 120.252852,  順天宮,  https://lh3.googleusercontent.com/ytjKRjVVbtnHrhygStVjPKPbZ3IEu6ACvnrd9MN0wh_QYhCOZPM5d_3IDQTS873zYmZcBhE7duWuOlfUGJFI
85a2ec205a9a4dbaad38d383155371ce.16, 23.505844, 120.251621,  六腳福音中心,  https://lh3.googleusercontent.com/bN4vlFKrNz-qejG6JMVpCynmrMEGdBKlOcXmyYjkY8Be-k2VN-1_uy8HMc_gDwhE9JEVg_giNncedWTvXn2rID6pTwY
7be094717e5a42c99def759615b1c4f1.16, 23.505933, 120.249977,  西營大將軍,  https://lh3.googleusercontent.com/m4qNu4jymS0or7qcWIZC0hW2D7uRmMyzbzbDkhDzv8xzLDRCKBwW5oYEqE2atNeVBq3StUyo_13cTMY7TqdXPXqe7A
cf0becdc732a4c34b802646229949d3f.16, 23.481407, 120.179452,  金爐,  https://lh3.googleusercontent.com/CVVKTWv-71QWPBIGQ4D3Ib5cx-YjB9NtCrmEnLUMIKQHQUUUwPYz7Xgfr-EEQlXnSBIdoI3W2qbnmLmpIxryyq-q1Q
3bbefa0af7ef44b1a0be68f56178dc09.16, 23.482308, 120.172663,  嘉義東石副瀨社區,  https://lh3.googleusercontent.com/vpR3nk1jYfoVel-MFciyY-1olMAL_zZ3cQrnpuLTKJssWr9hnkNNb5IIoUkcQF2if_OrqcIzswSzFJY_ZI_qpu3AO6jt
d65108cc9c8c4b459fbd117c6bea983f.16, 23.484291, 120.170783,  富聖宮,  https://lh3.googleusercontent.com/k7LZxcBp5CIBtcABSqhQWv5dR1Q1VnSVzZk9FiB5p07Bk869J_DhRsL__d2svCoRzwj81akV2B-e48zZraHMf7ZcwwT_
baff7ae6b94b438faa9aa317e13f6998.16, 23.489711, 120.169451,  萬生公,  https://lh3.googleusercontent.com/Njfb1VRZ-ZTJsyqXx5WEd75ZDQB-guKSUxXvUYRPtNM2y5-_M51Bq22kLvG_1r4Z8cz37a0FrgDjLvq6dMDSMZEI_mc
241a9cff700044e0beef2ec2edfeec95.16, 23.492848, 120.177141,  歡迎蒞臨熬鼓社區,  https://lh3.googleusercontent.com/3Rt4NcHkKKqaUxR2HEMUUViXEm3wUTfqpiY828OHjrm1vvhJJxw0edrV9KkvN1Pb9bwL2IaQekPiKoJiCEqZaXll4ZU
74ff8fa377c14c3fa2f7771433e489e8.16, 23.481566, 120.198118,  橋上圖,  https://lh3.googleusercontent.com/qYdb9t0QwIkJOsQoL2KwGAhPf-pxTPK0D2rjv8p2-Gi-Beb0Tm0IESg012yudbnYxvMbQc74adIuyplN1RPahwjFfw
5bd52dc8e5e84a1aabe7d0a0bd5388a7.16, 23.484942, 120.192765,  下楫村蘆筍的故鄉,  https://lh3.googleusercontent.com/K2jAUq-l5bHlXWvUqnSSuan45jdkcE_FCg8AwgfArwX4DVOwDE18WBUxa2SHNF_m6ERcH1lR_w69LNTiiNEJo9FpUg
d33e7a2b101b426e85cb59c74d0edc02.16, 23.485317, 120.20237,  萬靈公金紙香爐,  https://lh3.googleusercontent.com/YGRMh3boyEayrtRqoYWbcG3lNIZnN2mQYQCUjoJK6ilF-DbAL0w_DBRg4w7K8sb7WLjdJR3iz2FWEa3Cdyvq4E-x-Q
fd0ade948f054f3f8f110cac6afc3b0d.16, 23.487699, 120.19588,  客仙爺,  https://lh3.googleusercontent.com/KOgSA5w3urq3xRFhjtRgSIhIFqlITd328Ai0aMsxrQzUNTmjVZ1KNkrLUirc3tNVdx0IN6VU04zXOTSPcbyRw3QCfo0
dec19c2e191d4d7eb03d8ec4d8a7b4c8.16, 23.488054, 120.199393,  建安宮,  https://lh3.googleusercontent.com/VgIYBF4XoZvgGkMKZwLADBMQ-bJHoVJlPNXI3gPdq4ixk91pfV490tZO8LEyt9mElDl1OTQY7lbwYgpFZja12FbmGBw
06b3ebd9028c48db88e6a217608db512.16, 23.48876, 120.189869,  順風耳（聖母橋東）,  https://lh3.googleusercontent.com/aiNtGjuAMGqVij7RQQg4-LS3e5e-vJp7vUcnFPWXurUzb2Yg5eDy44LOUvGZ5K_3oMS1eYbFStUz-SfYbVrsRiXMeQ
